Virus_name_ORF_8_replacement_L84S,GISAID_ID,Lineage,GISAID_Clade,Location,Collection_date
hCoV-19/USA/WY-WYPHL-00041/2020,EPI_ISL_462933,A.2,S,North_America_/_USA_/_Wyoming,2020/03/24
hCoV-19/USA/WY-WYPHL-00040/2020,EPI_ISL_462932,A.2,O,North_America_/_USA_/_Wyoming,2020/03/24
hCoV-19/USA/WY-WYPHL-00031/2020,EPI_ISL_462924,A.1,S,North_America_/_USA_/_Wyoming,2020/03/23
hCoV-19/USA/WY-WYPHL-00029/2020,EPI_ISL_462922,A,S,North_America_/_USA_/_Wyoming,2020/03/21
hCoV-19/USA/WY-WYPHL-00024/2020,EPI_ISL_462917,A.2,S,North_America_/_USA_/_Wyoming,2020/03/22
hCoV-19/Canada/BC_23098110/2020,EPI_ISL_462842,A.1,S,North_America_/_Canada_/_British_Columbia,2020/03/01
hCoV-19/Canada/BC_22946611/2020,EPI_ISL_462838,A.1,S,North_America_/_Canada_/_British_Columbia,2020/03/01
hCoV-19/Canada/BC_22514413/2020,EPI_ISL_462837,A.1,S,North_America_/_Canada_/_British_Columbia,2020/03/01
hCoV-19/Canada/BC_22511314/2020,EPI_ISL_462836,A.1,S,North_America_/_Canada_/_British_Columbia,2020/03/01
hCoV-19/Canada/BC_22332113/2020,EPI_ISL_462828,A.1,S,North_America_/_Canada_/_British_Columbia,2020/03/01
hCoV-19/Canada/BC_22156718/2020,EPI_ISL_462825,A.1,S,North_America_/_Canada_/_British_Columbia,2020/03/01
hCoV-19/Canada/BC_22056219/2020,EPI_ISL_462823,A.1,S,North_America_/_Canada_/_British_Columbia,2020/03/01
hCoV-19/Canada/BC_22032711/2020,EPI_ISL_462821,A.1,S,North_America_/_Canada_/_British_Columbia,2020/03/01
hCoV-19/Canada/BC_21480617/2020,EPI_ISL_462818,A.1,S,North_America_/_Canada_/_British_Columbia,2020/03/01
hCoV-19/Canada/BC_21446719/2020,EPI_ISL_462813,A.1,S,North_America_/_Canada_/_British_Columbia,2020/03/01
hCoV-19/Canada/BC_21388915/2020,EPI_ISL_462811,A.1,S,North_America_/_Canada_/_British_Columbia,2020/03/01
hCoV-19/Canada/BC_21346429/2020,EPI_ISL_462807,A.1,S,North_America_/_Canada_/_British_Columbia,2020/03/01
hCoV-19/Canada/BC_21282517/2020,EPI_ISL_462804,A.1,S,North_America_/_Canada_/_British_Columbia,2020/03/01
hCoV-19/Canada/BC_21174021/2020,EPI_ISL_462797,A.1,S,North_America_/_Canada_/_British_Columbia,2020/03/01
hCoV-19/Canada/BC_21174010/2020,EPI_ISL_462796,A.1,S,North_America_/_Canada_/_British_Columbia,2020/03/01
hCoV-19/Canada/BC_21154418/2020,EPI_ISL_462795,A.1,S,North_America_/_Canada_/_British_Columbia,2020/03/01
hCoV-19/Canada/BC_21008826/2020,EPI_ISL_462785,A.1,S,North_America_/_Canada_/_British_Columbia,2020/03/01
hCoV-19/Canada/BC_21008811/2020,EPI_ISL_462784,A.1,S,North_America_/_Canada_/_British_Columbia,2020/03/01
hCoV-19/Canada/BC_20505516/2020,EPI_ISL_462775,A.1,S,North_America_/_Canada_/_British_Columbia,2020/03/01
hCoV-19/Canada/BC_20432317/2020,EPI_ISL_462774,A.1,S,North_America_/_Canada_/_British_Columbia,2020/03/01
hCoV-19/Canada/BC_19704814/2020,EPI_ISL_462768,A.1,S,North_America_/_Canada_/_British_Columbia,2020/03/01
hCoV-19/Canada/BC_19677629/2020,EPI_ISL_462766,A.1,S,North_America_/_Canada_/_British_Columbia,2020/03/01
hCoV-19/Canada/BC_19431939/2020,EPI_ISL_462764,A.1,S,North_America_/_Canada_/_British_Columbia,2020/03/01
hCoV-19/Canada/BC_18138681/2020,EPI_ISL_462756,A.1,S,North_America_/_Canada_/_British_Columbia,2020/03/01
hCoV-19/Singapore/302/2020,EPI_ISL_462420,A.1,S,Asia_/_Singapore,2020/03/21
hCoV-19/Singapore/297/2020,EPI_ISL_462415,A.6,S,Asia_/_Singapore,2020/03/20
hCoV-19/Singapore/232/2020,EPI_ISL_462350,A.3,S,Asia_/_Singapore,2020/03/31
hCoV-19/Singapore/174/2020,EPI_ISL_462292,A.5,S,Asia_/_Singapore,2020/03/17
hCoV-19/Belgium/KWA-0323410/2020,EPI_ISL_462264,A.5,S,Europe_/_Belgium_/_Sint-Niklaas,2020/03/23
hCoV-19/Belgium/DBWC-0325340/2020,EPI_ISL_462194,SARS-CoV-2_or_A,O,Europe_/_Belgium_/_Berchem,2020/03/25
hCoV-19/Singapore/319/2020,EPI_ISL_462086,A.1,S,Asia_/_Singapore,2020/03/14
hCoV-19/Scotland/CVR3070/2020,EPI_ISL_461654,A.2,S,Europe_/_United_Kingdom_/_Scotland,24-APR-2020
hCoV-19/Scotland/CVR3061/2020,EPI_ISL_461645,A.2,S,Europe_/_United_Kingdom_/_Scotland,24-APR-2020
hCoV-19/Scotland/CVR2941/2020,EPI_ISL_461601,A.2,S,Europe_/_United_Kingdom_/_Scotland,22-APR-2020
hCoV-19/Scotland/CVR2924/2020,EPI_ISL_461591,A.2,S,Europe_/_United_Kingdom_/_Scotland,22-APR-2020
hCoV-19/England/BIRM-5FE53/2020,EPI_ISL_461529,A,S,Europe_/_United_Kingdom_/_England,2020
hCoV-19/India/GBRC153b/2020,EPI_ISL_461482,A.p7_or_A,S,Asia_/_India_/_Gujarat_/_Rajkot,27-APR-2020
hCoV-19/USA/WA-UW-5860/2020,EPI_ISL_461445,A.1,S,North_America_/_USA_/_Washington,2020/03/31
hCoV-19/USA/UNKNOWN-UW-5622/2020,EPI_ISL_461438,A.1,S,North_America_/_USA,8-APR-2020
hCoV-19/USA/WA-UW-4690/2020,EPI_ISL_461429,A.1,S,North_America_/_USA_/_Washington,6-APR-2020
hCoV-19/USA/WA-UW-4688/2020,EPI_ISL_461428,A.1,S,North_America_/_USA_/_Washington,6-APR-2020
hCoV-19/USA/WA-UW-3904/2020,EPI_ISL_461422,A.1,S,North_America_/_USA_/_Washington,2020/03/27
hCoV-19/USA/WA-UW-6596/2020,EPI_ISL_461418,A.1,S,North_America_/_USA_/_Washington,6-APR-2020
hCoV-19/USA/WA-UW-4657/2020,EPI_ISL_461399,A.1,S,North_America_/_USA_/_Washington,6-APR-2020
hCoV-19/Netherlands/NoordBrabant_127/2020,EPI_ISL_461162,A.2,S,Europe_/_Netherlands_/_Noord_Brabant,2020
hCoV-19/Netherlands/NoordBrabant_123/2020,EPI_ISL_461158,A.2,S,Europe_/_Netherlands_/_Noord_Brabant,2020/03/25
hCoV-19/Netherlands/NoordBrabant_119/2020,EPI_ISL_461154,A.2,S,Europe_/_Netherlands_/_Noord_Brabant,2020/03/24
hCoV-19/Netherlands/NA_673/2020,EPI_ISL_461108,A.2,S,Europe_/_Netherlands,2020/03/10
hCoV-19/Netherlands/Flevoland_13/2020,EPI_ISL_460836,A,S,Europe_/_Netherlands_/_Flevoland,9-APR-2020
hCoV-19/USA/WA-UW-4633/2020,EPI_ISL_460632,A.1,S,North_America_/_USA_/_Washington,2020/03/29
hCoV-19/USA/WA-UW-4632/2020,EPI_ISL_460631,A.1,S,North_America_/_USA_/_Washington,2020/03/28
hCoV-19/USA/WA-UW-4591/2020,EPI_ISL_460627,A.1,S,North_America_/_USA_/_Washington,2020/03/31
hCoV-19/USA/WA-UW-4570/2020,EPI_ISL_460625,A.1,S,North_America_/_USA_/_Washington,2020/03/31
hCoV-19/USA/WA-UW-4562/2020,EPI_ISL_460624,A.1,S,North_America_/_USA_/_Washington,2020/03/30
hCoV-19/USA/WA-UW-4555/2020,EPI_ISL_460623,A.1,S,North_America_/_USA_/_Washington,2020/03/31
hCoV-19/USA/WA-UW-4545/2020,EPI_ISL_460621,A.1,S,North_America_/_USA_/_Washington,2020/03/29
hCoV-19/Canada/BC_18111443/2020,EPI_ISL_460616,A.1,S,North_America_/_Canada_/_British_Columbia,2020/03/01
hCoV-19/Canada/BC_16344159/2020,EPI_ISL_460610,A.1,S,North_America_/_Canada_/_British_Columbia,2020/03/01
hCoV-19/Canada/BC_15926629/2020,EPI_ISL_460609,A.1,S,North_America_/_Canada_/_British_Columbia,2020/03/01
hCoV-19/Canada/BC_13871523/2020,EPI_ISL_460608,A.1,S,North_America_/_Canada_/_British_Columbia,2020/03/01
hCoV-19/Canada/BC_08719828/2020,EPI_ISL_460607,A.1,S,North_America_/_Canada_/_British_Columbia,2020/03/01
hCoV-19/USA/MA-MGH-00132/2020,EPI_ISL_460470,A.1,S,North_America_/_USA_/_Massachusetts,2020/03/25
hCoV-19/USA/MA-MGH-00004/2020,EPI_ISL_460467,A.3,S,North_America_/_USA_/_Massachusetts,2020/03/11
hCoV-19/USA/MA-MGH-00071/2020,EPI_ISL_460446,A.1,S,North_America_/_USA_/_Massachusetts,2020/03/23
hCoV-19/USA/MA-MGH-00147/2020,EPI_ISL_460433,A.1,S,North_America_/_USA_/_Massachusetts,2020/03/25
hCoV-19/USA/MA-MGH-00696/2020,EPI_ISL_460422,A.2,S,North_America_/_USA_/_Massachusetts,6-APR-2020
hCoV-19/USA/MA-MGH-00646/2020,EPI_ISL_460419,A.1,S,North_America_/_USA_/_Massachusetts,2-APR-2020
hCoV-19/USA/MA-MGH-00517/2020,EPI_ISL_460415,A.1,S,North_America_/_USA_/_Massachusetts,2020/03/14
hCoV-19/USA/MA-MGH-00090/2020,EPI_ISL_460411,A.1,S,North_America_/_USA_/_Massachusetts,2020/03/25
hCoV-19/USA/MA-MGH-00676/2020,EPI_ISL_460388,A.1,S,North_America_/_USA_/_Massachusetts,2020/03/21
hCoV-19/USA/MA-MGH-00600/2020,EPI_ISL_460382,A.1,S,North_America_/_USA_/_Massachusetts,2020/03/28
hCoV-19/USA/MA-MGH-00153/2020,EPI_ISL_460355,A.1,S,North_America_/_USA_/_Massachusetts,2020/03/26
hCoV-19/USA/MA-MGH-00551/2020,EPI_ISL_460338,A.1,S,North_America_/_USA_/_Massachusetts,2020/03/20
hCoV-19/USA/MA-MGH-00566/2020,EPI_ISL_460285,A.3,S,North_America_/_USA_/_Massachusetts,2020/03/22
hCoV-19/USA/MA-MGH-00049/2020,EPI_ISL_460264,A.1,S,North_America_/_USA_/_Massachusetts,2020/03/23
hCoV-19/USA/MA-MGH-00555/2020,EPI_ISL_460232,A.3,S,North_America_/_USA_/_Massachusetts,2020/03/22
hCoV-19/USA/MA-MGH-00063/2020,EPI_ISL_460214,A.1,S,North_America_/_USA_/_Massachusetts,2020/03/24
hCoV-19/USA/MA-MGH-00614/2020,EPI_ISL_460205,A.3,S,North_America_/_USA_/_Massachusetts,2020/03/28
hCoV-19/USA/MA-MGH-00563/2020,EPI_ISL_460186,A.3,S,North_America_/_USA_/_Massachusetts,2020/03/22
hCoV-19/USA/MA-MGH-00174/2020,EPI_ISL_460179,A.3,S,North_America_/_USA_/_Massachusetts,2020/03/26
hCoV-19/USA/MA-MGH-00530/2020,EPI_ISL_460178,A.1,S,North_America_/_USA_/_Massachusetts,2020/03/18
hCoV-19/USA/MA-MGH-00145/2020,EPI_ISL_460170,A.3,S,North_America_/_USA_/_Massachusetts,2020/03/26
hCoV-19/USA/MA-MGH-00069/2020,EPI_ISL_460119,A.1,S,North_America_/_USA_/_Massachusetts,2020/03/25
hCoV-19/USA/MA-MGH-00143/2020,EPI_ISL_460114,A.3,S,North_America_/_USA_/_Massachusetts,2020/03/26
hCoV-19/USA/MA-MGH-00018/2020,EPI_ISL_460102,A.1,S,North_America_/_USA_/_Massachusetts,2020/03/25
hCoV-19/USA/MN-MDH-91/2020,EPI_ISL_460072,A.3,S,North_America_/_USA_/_Minnesota,2020/03/15
hCoV-19/USA/MN-MDH-84/2020,EPI_ISL_460068,A.1,S,North_America_/_USA_/_Minnesota,2020/03/15
hCoV-19/USA/MN-MDH-75/2020,EPI_ISL_460064,A.1,S,North_America_/_USA_/_Minnesota,2020/03/16
hCoV-19/USA/MN-MDH-74/2020,EPI_ISL_460063,A.1,S,North_America_/_USA_/_Minnesota,2020/03/17
hCoV-19/USA/MN-MDH-163/2020,EPI_ISL_460058,A.1,S,North_America_/_USA_/_Minnesota,2020/03/23
hCoV-19/USA/MN-MDH-148/2020,EPI_ISL_460053,A.1,S,North_America_/_USA_/_Minnesota,2020/03/21
hCoV-19/USA/MN-MDH-139/2020,EPI_ISL_460052,A.3,S,North_America_/_USA_/_Minnesota,2020/03/21
hCoV-19/USA/MN-MDH-104/2020,EPI_ISL_460046,A.1,S,North_America_/_USA_/_Minnesota,2020/03/15
hCoV-19/USA/MN-MDH-103/2020,EPI_ISL_460045,A.1,S,North_America_/_USA_/_Minnesota,2020/03/15
hCoV-19/USA/MI-MDHHS-SC20469/2020,EPI_ISL_460008,A.3,S,North_America_/_USA_/_Michigan,2020/03/26
hCoV-19/Canada/ON_QGLO-023/2020,EPI_ISL_459879,A.1,S,North_America_/_Canada_/_Ontario,2020/03/28
hCoV-19/Chile/Talca-25343/2020,EPI_ISL_459863,A,S,South_America_/_Chile_/_Talca,2020/03/12
hCoV-19/Chile/LaFlorida-26639/2020,EPI_ISL_459858,A.2,S,South_America_/_Chile_/_Santiago,2020/03/17
hCoV-19/Scotland/GCVR-171009/2020,EPI_ISL_459693,A.2,S,Europe_/_United_Kingdom_/_Scotland,2020/03/27
hCoV-19/Scotland/GCVR-17050B/2020,EPI_ISL_459667,A.1,S,Europe_/_United_Kingdom_/_Scotland,2020/03/23
hCoV-19/Scotland/GCVR-170A0C/2020,EPI_ISL_459665,B_or_A.5,O,Europe_/_United_Kingdom_/_Scotland,2020/03/26
hCoV-19/Scotland/GCVR-170662/2020,EPI_ISL_459653,A.1,S,Europe_/_United_Kingdom_/_Scotland,2020/03/24
hCoV-19/Scotland/GCVR-170653/2020,EPI_ISL_459652,A.1,S,Europe_/_United_Kingdom_/_Scotland,2020/03/24
hCoV-19/Scotland/GCVR-1709F0/2020,EPI_ISL_459650,A.2,S,Europe_/_United_Kingdom_/_Scotland,2020/03/26
hCoV-19/Scotland/GCVR-170608/2020,EPI_ISL_459640,A.5,S,Europe_/_United_Kingdom_/_Scotland,2020/03/25
hCoV-19/Scotland/GCVR-17000A/2020,EPI_ISL_459625,A.2,S,Europe_/_United_Kingdom_/_Scotland,2020/03/25
hCoV-19/Scotland/GCVR-170170/2020,EPI_ISL_459618,A.2,S,Europe_/_United_Kingdom_/_Scotland,2020/03/24
hCoV-19/Scotland/GCVR-171300/2020,EPI_ISL_459592,A.2,S,Europe_/_United_Kingdom_/_Scotland,2020/03/26
hCoV-19/Scotland/GCVR-170AEE/2020,EPI_ISL_459570,A.2,S,Europe_/_United_Kingdom_/_Scotland,2020/03/24
hCoV-19/Scotland/GCVR-170671/2020,EPI_ISL_459561,A.1,S,Europe_/_United_Kingdom_/_Scotland,2020/03/24
hCoV-19/Scotland/GCVR-170FB2/2020,EPI_ISL_459553,A.2,S,Europe_/_United_Kingdom_/_Scotland,2020/03/26
hCoV-19/Scotland/GCVR-170F85/2020,EPI_ISL_459551,A.2,S,Europe_/_United_Kingdom_/_Scotland,2020/03/27
hCoV-19/Scotland/GCVR-170BDC/2020,EPI_ISL_459550,A.2,S,Europe_/_United_Kingdom_/_Scotland,2020/03/25
hCoV-19/Scotland/GCVR-170C9D/2020,EPI_ISL_459544,A.5,S,Europe_/_United_Kingdom_/_Scotland,2020/03/25
hCoV-19/Scotland/GCVR-1710BE/2020,EPI_ISL_459520,A.2,S,Europe_/_United_Kingdom_/_Scotland,2020/03/27
hCoV-19/England/CAMB-1AE22B/2020,EPI_ISL_459474,A.2,S,Europe_/_United_Kingdom_/_England,27-APR-2020
hCoV-19/Scotland/GCVR-173BAC/2020,EPI_ISL_459142,A.2,S,Europe_/_United_Kingdom_/_Scotland,7-APR-2020
hCoV-19/Scotland/GCVR-172BF8/2020,EPI_ISL_459141,B,O,Europe_/_United_Kingdom_/_Scotland,6-APR-2020
hCoV-19/Scotland/GCVR-173DD3/2020,EPI_ISL_459132,A.2,S,Europe_/_United_Kingdom_/_Scotland,7-APR-2020
hCoV-19/Scotland/GCVR-173CC7/2020,EPI_ISL_459130,A.2,S,Europe_/_United_Kingdom_/_Scotland,7-APR-2020
hCoV-19/Scotland/GCVR-173C4F/2020,EPI_ISL_459127,A.2,S,Europe_/_United_Kingdom_/_Scotland,7-APR-2020
hCoV-19/Scotland/GCVR-173C6D/2020,EPI_ISL_459121,A.2,S,Europe_/_United_Kingdom_/_Scotland,7-APR-2020
hCoV-19/Scotland/GCVR-173D79/2020,EPI_ISL_459114,A.2,S,Europe_/_United_Kingdom_/_Scotland,7-APR-2020
hCoV-19/Scotland/GCVR-173B8E/2020,EPI_ISL_459104,A.2,S,Europe_/_United_Kingdom_/_Scotland,6-APR-2020
hCoV-19/Scotland/GCVR-173B9D/2020,EPI_ISL_459099,A.2,S,Europe_/_United_Kingdom_/_Scotland,6-APR-2020
hCoV-19/England/NORT-289629/2020,EPI_ISL_458630,A.5,S,Europe_/_United_Kingdom_/_England,2020/03/31
hCoV-19/USA/NC_200429/2020,EPI_ISL_458291,A.p7_or_A,S,North_America_/_USA_/_North_Carolina,APR-2020
hCoV-19/Tunisia/MHT_2/2020,EPI_ISL_458286,A.p7_or_A,S,Africa_/_Tunisia_/_Ben_Arous,2020/03/24
hCoV-19/USA/CA-SR0404/2020,EPI_ISL_458275,A.1,S,North_America_/_USA_/_California_/_San_Diego,7-APR-2020
hCoV-19/Oman/RESP-20-5414/2020,EPI_ISL_457993,A,S,Asia_/_Oman_/_Dakhiliyah,2020/03/24
hCoV-19/Oman/RESP-20-4736/2020,EPI_ISL_457991,A,O,Asia_/_Oman_/_North_Batinah,2020/03/22
hCoV-19/Oman/RESP-20-2631/2020,EPI_ISL_457976,A,S,Asia_/_Oman_/_North_Batinah,2020/03/17
hCoV-19/Uruguay/UY-NYUMC869/2020,EPI_ISL_457965,A.5,S,South_America_/_Uruguay_/_Montevideo,3-APR-2020
hCoV-19/Uruguay/UY-NYUMC864/2020,EPI_ISL_457960,A.5,S,South_America_/_Uruguay_/_Montevideo,2020/03/28
hCoV-19/Uruguay/UY-NYUMC862/2020,EPI_ISL_457958,A.5,S,South_America_/_Uruguay_/_Montevideo,2020/03/25
hCoV-19/Uruguay/UY-NYUMC860/2020,EPI_ISL_457956,A.5,S,South_America_/_Uruguay_/_Montevideo,2020/03/25
hCoV-19/Uruguay/UY-NYUMC856/2020,EPI_ISL_457952,A.5,S,South_America_/_Uruguay_/_Montevideo,2020/03/21
hCoV-19/Uruguay/UY-NYUMC852/2020,EPI_ISL_457948,A.5,S,South_America_/_Uruguay_/_Montevideo,2020/03/17
hCoV-19/Uruguay/UY-NYUMC850/2020,EPI_ISL_457946,A.2,O,South_America_/_Uruguay_/_Montevideo,2020/03/17
hCoV-19/Uruguay/UY-NYUMC846/2020,EPI_ISL_457942,A.5,O,South_America_/_Uruguay_/_Montevideo,2020/03/17
hCoV-19/Uruguay/UY-NYUMC844/2020,EPI_ISL_457940,A.5,S,South_America_/_Uruguay_/_Montevideo,2020/03/17
hCoV-19/Oman/RESP-20-1976/2020,EPI_ISL_457938,A,S,Asia_/_Oman_/_Muscat,2020/03/15
hCoV-19/Kenya/P230/2020,EPI_ISL_457875,A,S,Africa_/_Kenya,APR-2020
hCoV-19/Kenya/P209/2020,EPI_ISL_457871,A,S,Africa_/_Kenya,APR-2020
hCoV-19/USA/MD-HP00120/2020,EPI_ISL_457813,A.3,S,North_America_/_USA_/_Maryland,2020/03/19
hCoV-19/USA/MD-HP00065/2020,EPI_ISL_457807,A.3,S,North_America_/_USA_/_Maryland,2020/03/15
hCoV-19/USA/MD-HP00058/2020,EPI_ISL_457800,A.1,S,North_America_/_USA_/_Maryland,2020/03/19
hCoV-19/USA/MD-HP00031/2020,EPI_ISL_457789,A.3,S,North_America_/_USA_/_Maryland,2020/03/16
hCoV-19/USA/MD-HP00154/2020,EPI_ISL_457783,A.3,S,North_America_/_USA_/_Maryland,2020/03/29
hCoV-19/USA/MD-HP00153/2020,EPI_ISL_457782,A.3,S,North_America_/_USA_/_Maryland,2020/03/24
hCoV-19/USA/MD-HP00113/2020,EPI_ISL_457768,A.3,S,North_America_/_USA_/_Maryland,2020/03/14
hCoV-19/USA/MD-HP00112/2020,EPI_ISL_457767,A.3,S,North_America_/_USA_/_Maryland,2020/03/29
hCoV-19/USA/MD-HP00098/2020,EPI_ISL_457762,A.3,S,North_America_/_USA_/_Maryland,2020/03/26
hCoV-19/USA/MD-HP00086/2020,EPI_ISL_457756,A.3,S,North_America_/_USA_/_Maryland,2020/03/20
hCoV-19/Guangzhou/GZMU0099/2020,EPI_ISL_457696,A,S,Asia_/_China_/_Guangzhou,20-FEB-2020
hCoV-19/Guangzhou/GZMU0095/2020,EPI_ISL_457695,A,S,Asia_/_China_/_Guangzhou,17-FEB-2020
hCoV-19/Guangzhou/GZMU0083/2020,EPI_ISL_457693,A,S,Asia_/_China_/_Guangzhou,14-FEB-2020
hCoV-19/Guangzhou/GZMU0081/2020,EPI_ISL_457692,A,S,Asia_/_China_/_Guangzhou,14-FEB-2020
hCoV-19/Guangzhou/GZMU0078/2020,EPI_ISL_457690,A,S,Asia_/_China_/_Guangzhou,11-FEB-2020
hCoV-19/Guangzhou/GZMU0077/2020,EPI_ISL_457689,A,S,Asia_/_China_/_Guangzhou,11-FEB-2020
hCoV-19/Guangzhou/GZMU0075/2020,EPI_ISL_457688,A,S,Asia_/_China_/_Guangzhou,11-FEB-2020
hCoV-19/Guangzhou/GZMU0074/2020,EPI_ISL_457687,A,S,Asia_/_China_/_Guangzhou,11-FEB-2020
hCoV-19/England/NORT-28AA1D/2020,EPI_ISL_457309,A.5,S,Europe_/_United_Kingdom_/_England,14-APR-2020
hCoV-19/England/EXET-135E34/2020,EPI_ISL_457171,A.2,S,Europe_/_United_Kingdom_/_England,2020/03/27
hCoV-19/England/EXET-135D64/2020,EPI_ISL_457163,A.2,S,Europe_/_United_Kingdom_/_England,2020/03/27
hCoV-19/England/EXET-1359F7/2020,EPI_ISL_457124,A.2,S,Europe_/_United_Kingdom_/_England,2020/03/17
hCoV-19/Scotland/EDB5040/2020,EPI_ISL_456952,A.5,S,Europe_/_United_Kingdom_/_Scotland,2-APR-2020
hCoV-19/Scotland/CVR3440/2020,EPI_ISL_456853,A.2,S,Europe_/_United_Kingdom_/_Scotland,7-MAY-2020
hCoV-19/Scotland/CVR3350/2020,EPI_ISL_456784,A.5,S,Europe_/_United_Kingdom_/_Scotland,7-MAY-2020
hCoV-19/Scotland/CVR3346/2020,EPI_ISL_456782,A.2,S,Europe_/_United_Kingdom_/_Scotland,6-MAY-2020
hCoV-19/Scotland/CVR2375/2020,EPI_ISL_456764,A.2,S,Europe_/_United_Kingdom_/_Scotland,13-APR-2020
hCoV-19/Scotland/CVR2242/2020,EPI_ISL_456762,A.2,S,Europe_/_United_Kingdom_/_Scotland,12-APR-2020
hCoV-19/Scotland/CVR2118/2020,EPI_ISL_456759,A.2,S,Europe_/_United_Kingdom_/_Scotland,10-APR-2020
hCoV-19/USA/UN-NR-52282/2020,EPI_ISL_456656,A,S,North_America_/_USA,2020/03/23
hCoV-19/Australia/VIC1787/2020,EPI_ISL_456649,A,S,Oceania_/_Australia_/_Victoria,27-MAY-2020
hCoV-19/Australia/VIC1360/2020,EPI_ISL_456427,A.2,S,Oceania_/_Australia_/_Victoria,7-APR-2020
hCoV-19/Australia/VIC1392/2020,EPI_ISL_456425,A.2,S,Oceania_/_Australia_/_Victoria,15-APR-2020
hCoV-19/Australia/VIC1406/2020,EPI_ISL_456423,A.2,S,Oceania_/_Australia_/_Victoria,16-APR-2020
hCoV-19/Australia/VIC1365/2020,EPI_ISL_456411,A.1,S,Oceania_/_Australia_/_Victoria,13-APR-2020
hCoV-19/New_Zealand/20VR2083/2020,EPI_ISL_456368,A.2,S,Oceania_/_New_Zealand_/_Canterbury,10-APR-2020
hCoV-19/New_Zealand/20VR2038/2020,EPI_ISL_456343,A.2,S,Oceania_/_New_Zealand_/_Combined_Wellington,1-APR-2020
hCoV-19/New_Zealand/20VR2034/2020,EPI_ISL_456340,A.1,S,Oceania_/_New_Zealand_/_Combined_Wellington,1-APR-2020
hCoV-19/New_Zealand/20VR2019/2020,EPI_ISL_456336,A.2,S,Oceania_/_New_Zealand_/_Combined_Wellington,1-APR-2020
hCoV-19/New_Zealand/20VR2015/2020,EPI_ISL_456334,A.1,S,Oceania_/_New_Zealand_/_Combined_Wellington,1-APR-2020
hCoV-19/New_Zealand/20VR2014/2020,EPI_ISL_456333,A.1,S,Oceania_/_New_Zealand_/_Combined_Wellington,1-APR-2020
hCoV-19/New_Zealand/20VR1995/2020,EPI_ISL_456325,A.2,S,Oceania_/_New_Zealand_/_Combined_Wellington,1-APR-2020
hCoV-19/New_Zealand/20VR1936/2020,EPI_ISL_456315,B.1_or_A,O,Oceania_/_New_Zealand_/_Southern,4-APR-2020
hCoV-19/New_Zealand/20VR1896/2020,EPI_ISL_456298,A.1,S,Oceania_/_New_Zealand_/_Southern,1-APR-2020
hCoV-19/New_Zealand/20VR1858/2020,EPI_ISL_456286,A.1,S,Oceania_/_New_Zealand_/_Southern,2020/03/30
hCoV-19/New_Zealand/20VR1836/2020,EPI_ISL_456277,A.2,S,Oceania_/_New_Zealand_/_Southern,2020/03/27
hCoV-19/New_Zealand/20VR1833/2020,EPI_ISL_456276,A.1,S,Oceania_/_New_Zealand_/_Southern,2020/03/30
hCoV-19/New_Zealand/20VR1380/2020,EPI_ISL_456215,A.1,S,Oceania_/_New_Zealand_/_Bay_of_Plenty,2020/03/22
hCoV-19/New_Zealand/20VR1297/2020,EPI_ISL_456213,A.2,S,Oceania_/_New_Zealand_/_Counties_Manukau,2020/03/20
hCoV-19/New_Zealand/20VR1290/2020,EPI_ISL_456212,A.1,S,Oceania_/_New_Zealand_/_Auckland,2020/03/21
hCoV-19/New_Zealand/20VR1275/2020,EPI_ISL_456200,A.3,S,Oceania_/_New_Zealand_/_Auckland,2020/03/20
hCoV-19/New_Zealand/20VR1016/2020,EPI_ISL_456182,A.1,S,Oceania_/_New_Zealand_/_Combined_Wellington,2020/03/20
hCoV-19/New_Zealand/20VR0999/2020,EPI_ISL_456180,A.1,S,Oceania_/_New_Zealand_/_Auckland,2020/03/16
hCoV-19/New_Zealand/20VR0987/2020,EPI_ISL_456172,A.3,S,Oceania_/_New_Zealand_/_Auckland,2020/03/17
hCoV-19/Colombia/INS-79489/2020,EPI_ISL_456123,A.1,S,South_America_/_Colombia_/_Manizales,2020/03/12
hCoV-19/Colombia/INS-80825/2020,EPI_ISL_456119,A.5,S,South_America_/_Colombia_/_Medellin,2020/03/17
hCoV-19/Colombia/INS-79253/2020,EPI_ISL_456117,A.5,S,South_America_/_Colombia_/_Medellin,2020/03/10
hCoV-19/USA/LA-EVTL155/2020,EPI_ISL_455998,A.3,S,North_America/_USA/_Louisiana,1-APR-2020
hCoV-19/Thailand/Bangkok-CONI-0155/2020,EPI_ISL_455948,A.6,S,Asia_/_Thailand_/_Bangkok,2020/03/16
hCoV-19/Thailand/Bangkok-CONI-0154/2020,EPI_ISL_455947,A.6,S,Asia_/_Thailand_/_Bangkok,2020/03/16
hCoV-19/Thailand/Bangkok-CONI-0153/2020,EPI_ISL_455946,A.6,S,Asia_/_Thailand_/_Bangkok,2020/03/16
hCoV-19/Thailand/Bangkok-CONI-0152/2020,EPI_ISL_455945,A.6,S,Asia_/_Thailand_/_Bangkok,2020/03/16
hCoV-19/Thailand/Bangkok-CONI-0150/2020,EPI_ISL_455944,A.6,S,Asia_/_Thailand_/_Bangkok,2020/03/15
hCoV-19/Thailand/Bangkok-CONI-0148/2020,EPI_ISL_455942,A.6,S,Asia_/_Thailand_/_Bangkok,2020/03/15
